identifier	function	contig	start	stop	position	rank	my_status	pp	Final_status	start of attL	end of attL	start of attR	end of attR	sequence of attL	sequence of attR	Reason for att site
IPC1264_RS00005	type VI secretion system tip protein VgrG	NZ_CM001020.1	2219	1	0	0.019000000000000003	0	0	0
IPC1264_RS00010	S-layer family protein	NZ_CM001020.1	2320	3854	1	0.018000000000000002	0	0	0
IPC1264_RS00015	hemagglutinin repeat-containing protein	NZ_CM001020.1	4838	8393	2	0.017	0	0	0
IPC1264_RS33250	hypothetical protein	NZ_CM001020.1	8390	8791	3	0.016315789473684214	0	0.5	0
IPC1264_RS00020	hypothetical protein	NZ_CM001020.1	9246	9461	4	0.015500000000000003	0	0.5	0
IPC1264_RS33640	S-layer family protein	NZ_CM001020.1	9682	9866	5	0.014761904761904764	0	0	0
IPC1264_RS00025	DUF637 domain-containing protein	NZ_CM001020.1	10760	12833	6	0.014181818181818184	0	0	0
IPC1264_RS00035	transposase	NZ_CM001020.1	14692	14889	7	0.013652173913043481	0	0.75	0
IPC1264_RS00040	hypothetical protein	NZ_CM001020.1	15069	15464	8	0.013166666666666669	0	0.5	0
IPC1264_RS00050	MgtC/SapB family protein	NZ_CM001020.1	16982	15729	9	0.013040000000000003	0	0	0
IPC1264_RS00055	T3SS effector bifunctional cytotoxin exoenzyme T	NZ_CM001020.1	17301	18674	10	0.012538461538461542	0	0	0
IPC1264_RS00060	CsgG/HfaB family protein	NZ_CM001020.1	19170	19856	11	0.012222222222222225	0	0	0
IPC1264_RS00065	DUF4810 domain-containing protein	NZ_CM001020.1	19887	20240	12	0.012071428571428575	0	0	0
IPC1264_RS00070	DUF799 domain-containing protein	NZ_CM001020.1	20237	20902	13	0.011655172413793106	0	0	0
IPC1264_RS00075	helix-turn-helix domain-containing protein	NZ_CM001020.1	21300	20917	14	0.011333333333333336	0	1	0
IPC1264_RS00080	hypothetical protein	NZ_CM001020.1	23090	21582	15	0.011333333333333336	0	0.5	0
IPC1264_RS00085	hypothetical protein	NZ_CM001020.1	24045	24185	16	0.011133333333333335	0	0.5	0
IPC1264_RS33730	hypothetical protein	NZ_CM001020.1	24247	24384	17	0.010800000000000002	0	0.5	0
IPC1264_RS00095	asparagine synthase (glutamine-hydrolyzing)	NZ_CM001020.1	25007	26839	18	0.008933333333333337	0	0	0
IPC1264_RS00100	cupin domain-containing protein	NZ_CM001020.1	27320	26892	19	0.008600000000000002	0	0	0
IPC1264_RS00105	RNA 2'-phosphotransferase	NZ_CM001020.1	28076	27528	20	0.007933333333333336	0	0	0
IPC1264_RS00110	DUF1993 family protein	NZ_CM001020.1	28621	28115	21	0.005	0	0	0
IPC1264_RS00115	LysR family transcriptional regulator	NZ_CM001020.1	29607	28687	22	0.005533333333333333	0	0	0
IPC1264_RS00120	MBL fold metallo-hydrolase	NZ_CM001020.1	29715	30602	23	0.006066666666666666	0	0	0
IPC1264_RS00125	DsbA family protein	NZ_CM001020.1	30665	31369	24	0.0062	0	0	0
IPC1264_RS00130	OsmC family protein	NZ_CM001020.1	31453	31908	25	0.009466666666666668	0	0	0
IPC1264_RS00135	DUF1161 domain-containing protein	NZ_CM001020.1	32019	32252	26	0.010733333333333334	0	0	0
IPC1264_RS00140	hypothetical protein	NZ_CM001020.1	32701	32264	27	0.012	0	0.5	0
IPC1264_RS00145	hypothetical protein	NZ_CM001020.1	33174	32758	28	0.0126	0	0.5	0
IPC1264_RS00150	aminopeptidase	NZ_CM001020.1	33266	34372	29	0.011800000000000001	0	0	0
IPC1264_RS00155	hypothetical protein	NZ_CM001020.1	35594	34815	30	0.011533333333333335	0	0.5	0
IPC1264_RS00160	HAD family hydrolase	NZ_CM001020.1	36292	35627	31	0.011666666666666667	0	0	0
IPC1264_RS00165	gamma carbonic anhydrase family protein	NZ_CM001020.1	36827	36285	32	0.011866666666666668	0	0	0
IPC1264_RS00170	oligopeptidase A	NZ_CM001020.1	36905	38950	33	0.011866666666666668	0	0	0
