Prophage number	Contig	Start	Stop
pp_1	NZ_CP029090.1	80071	112452
pp_2	NZ_CP029090.1	331299	345645
pp_3	NZ_CP029090.1	1542363	1558235
pp_4	NZ_CP029090.1	1846773	1887256
pp_5	NZ_CP029090.1	2836906	2865349
pp_6	NZ_CP029090.1	3076058	3096896
pp_7	NZ_CP029090.1	3119721	3128631
pp_8	NZ_CP029090.1	3191638	3212357
pp_9	NZ_CP029090.1	3636247	3650590
pp_10	NZ_CP029090.1	4129518	4161136
pp_11	NZ_CP029090.1	4909350	4943656
pp_12	NZ_CP029090.1	5721677	5754276
pp_13	NZ_CP029090.1	5842449	5856796
pp_14	NZ_CP029090.1	6902947	6920723
pp_15	NZ_CP029090.1	7158241	7183669
